,0
124,Lipids_POS_785.3595_336.9939_303.4970
125,Lipids_NEG_1642.1988_354.4736_493.5573
126,Lipids_NEG_537.0163_531.8280_203.6256
127,Lipids_POS_445.3670_329.2063_230.0222
128,Lipids_NEG_858.7545_427.5417_337.6903
129,Lipids_NEG_554.7890_173.3718_252.4382
130,Lipids_POS_828.5495_322.8928_241.3210
131,Lipids_NEG_425.3627_286.8722_224.2287
132,Lipids_POS_818.6043_359.8686_316.7067
133,Lipids_NEG_826.5957_342.0348_312.7954
134,Lipids_NEG_761.5912_411.9364_295.2964
135,Lipids_POS_909.5443_322.1742_318.4160
136,Lipids_POS_870.5080_192.1762_306.2568
137,Lipids_POS_860.8047_470.2623_334.8807
138,Lipids_POS_510.3914_224.1465_248.8784
139,Lipids_POS_805.6650_370.2533_318.7429
140,Lipids_NEG_1173.2899_436.6922_371.0564
141,Lipids_NEG_695.4211_380.1374_290.9270
142,Lipids_NEG_563.1286_340.5461_244.4028
143,Lipids_NEG_524.2781_157.9322_228.2561
144,Lipids_NEG_867.0322_328.4754_319.1051
145,Lipids_NEG_403.3576_315.8998_218.5528
146,Lipids_NEG_956.6662_387.6294_344.9828
147,Lipids_NEG_946.5776_322.7049_338.4829
148,Lipids_NEG_754.6552_418.8208_309.2938
149,Lipids_NEG_860.6014_304.3336_320.3641
150,Lipids_NEG_826.9903_329.9528_308.3726
151,Lipids_POS_1067.2169_432.4465_311.7311
152,Lipids_NEG_957.6679_401.2368_343.5456
153,Lipids_POS_891.7366_380.0705_335.3059
154,Lipids_NEG_1716.2293_366.7346_512.1137
155,Lipids_POS_899.3469_437.4173_341.6549
156,Lipids_POS_871.7130_467.9608_333.0873
157,Lipids_NEG_333.2792_256.6141_197.5731
158,Lipids_POS_429.3722_311.3762_224.1912
159,Lipids_NEG_770.5690_370.4195_292.6647
160,Lipids_NEG_765.5676_362.8359_310.1451
161,Lipids_POS_1134.8884_415.0642_381.9352
162,Lipids_NEG_702.5158_295.6744_285.4162
163,Lipids_NEG_594.3404_162.1706_250.6944
164,Lipids_POS_891.6812_429.0097_331.1159
165,Lipids_NEG_527.4463_364.8525_255.8106
166,Lipids_POS_430.3793_329.4548_224.3068
167,Lipids_POS_565.3665_256.8625_250.8861
168,Lipids_POS_1528.1644_345.8720_476.9771
